state	OR	ORplusSister
58150000	1995.036118	1857.071606
58200000	1988.830039	1840.433397
58250000	1988.760435	1873.379273
58300000	1988.938278	1886.882407
58350000	1989.466755	1876.425628
58400000	1988.186769	1861.778436
58450000	1984.463573	1853.627906
58500000	1983.780430	1843.045217
58550000	1981.012281	1829.280236
58600000	1981.410478	1810.364472
58650000	1984.790252	1834.431015
58700000	1981.790797	1821.410148
58750000	1982.542501	1827.105031
58800000	1991.738116	1854.208993
58850000	1986.788332	1831.392254
58900000	1987.259858	1845.853480
58950000	1983.904184	1809.063953
59000000	1984.815175	1837.598515
59050000	1984.198144	1858.733869
59100000	1986.173893	1883.037275
59150000	1986.360474	1858.046636
59200000	1990.877127	1867.880841
59250000	1987.060459	1875.917840
59300000	1989.000955	1872.138781
59350000	1987.631291	1883.076112
59400000	1986.956765	1862.753072
59450000	1988.165049	1875.198424
59500000	1985.373589	1857.373954
59550000	1989.691575	1868.148000
59600000	1989.945470	1873.229740
59650000	1988.550058	1850.699041
59700000	1990.138582	1864.375272
59750000	1988.176014	1860.705932
59800000	1985.834466	1855.202512
59850000	1979.466156	1864.724530
59900000	1975.351600	1843.144503
59950000	1982.312978	1838.713445
60000000	1987.019235	1817.670434
60050000	1984.048453	1810.728285
60100000	1984.645794	1853.169145
60150000	1991.402638	1862.527894
60200000	1987.729164	1869.684097
60250000	1984.252746	1802.318444
60300000	1988.864893	1863.698257
60350000	1990.158097	1845.014008
60400000	1990.807429	1829.775768
60450000	1989.591158	1783.195948
60500000	1991.962319	1790.267271
60550000	1991.034840	1826.389154
60600000	1989.605652	1822.624202
60650000	1985.561588	1757.667321
60700000	1987.032661	1754.674391
60750000	1989.293964	1780.245630
60800000	1989.091061	1762.083734
60850000	1985.693872	1694.614657
60900000	1974.618672	1801.705614
60950000	1981.076196	1842.942889
61000000	1975.798263	1794.618257
61050000	1979.607363	1786.508143
61100000	1986.010129	1781.956149
61150000	1988.452019	1862.422251
61200000	1988.571077	1839.221423
61250000	1986.167828	1843.631349
61300000	1988.355486	1881.433847
61350000	1985.332605	1836.433006
61400000	1979.824971	1760.541395
61450000	1985.242332	1763.406161
61500000	1980.166287	1811.767754
61550000	1988.329120	1858.231275
61600000	1988.364973	1863.782822
61650000	1986.328597	1894.416968
61700000	1987.486002	1886.992565
61750000	1991.551098	1873.336741
61800000	1994.313993	1851.792738
