state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
26320000	14.64
26330000	8.58
26340000	2.82
26350000	3.16
26360000	7.28
26370000	3.95
26380000	3.18
26390000	11.69
26400000	3.45
26410000	4.84
26420000	3.62
26430000	3.38
26440000	5.56
26450000	5.79
26460000	4.10
26470000	6.30
26480000	13.49
26490000	1.87
26500000	4.56
26510000	3.51
26520000	5.91
26530000	4.44
26540000	6.73
26550000	3.31
26560000	7.62
26570000	3.29
26580000	10.25
26590000	7.47
26600000	5.04
26610000	4.62
26620000	3.80
26630000	4.08
26640000	6.36
26650000	4.70
26660000	3.47
26670000	5.91
26680000	3.45
26690000	6.06
26700000	7.06
26710000	2.75
26720000	5.39
26730000	1.94
26740000	5.45
26750000	4.98
26760000	2.74
26770000	4.02
26780000	3.83
26790000	4.28
26800000	10.03
26810000	6.90
26820000	1.20
26830000	1.52
26840000	5.26
26850000	4.59
26860000	3.17
26870000	3.94
26880000	3.73
26890000	3.76
26900000	14.72
26910000	3.64
26920000	2.43
26930000	7.06
26940000	23.76
26950000	22.59
26960000	9.15
26970000	12.58
26980000	6.03
26990000	2.81
27000000	12.11
27010000	8.87
27020000	3.65
27030000	5.00
27040000	5.22
27050000	2.77
27060000	9.52
27070000	10.25
27080000	7.05
27090000	2.31
27100000	3.10
27110000	47.38
27120000	10.38
27130000	75.44
27140000	6.70
27150000	7.91
27160000	22.33
27170000	4.40
27180000	17.54
27190000	33.86
27200000	6.34
27210000	4.98
27220000	3.48
27230000	19.01
27240000	5.84
27250000	7.90
27260000	6.31
27270000	8.19
27280000	2.29
27290000	6.63
27300000	10.60
27310000	8.89
27320000	9.91
27330000	7.31
27340000	4.81
27350000	3.88
27360000	10.87
27370000	8.90
27380000	1.00
27390000	11.89
27400000	15.59
27410000	10.37
27420000	3.59
27430000	4.57
27440000	11.37
27450000	12.86
27460000	14.51
27470000	6.73
27480000	38.11
27490000	3.08
27500000	5.06
27510000	6.46
27520000	4.14
27530000	3.93
27540000	5.87
27550000	1.89
27560000	3.96
27570000	3.24
27580000	5.52
27590000	13.77
27600000	14.50
27610000	4.05
27620000	3.95
27630000	18.21
27640000	3.55
27650000	1.66
27660000	38.70
27670000	3.32
27680000	3.51
27690000	6.49
27700000	14.33
27710000	3.65
27720000	2.63
27730000	2.30
27740000	2.29
27750000	2.89
27760000	6.73
27770000	3.75
27780000	7.47
27790000	2.52
27800000	2.26
27810000	3.38
27820000	3.63
27830000	14.29
27840000	6.85
27850000	4.93
27860000	5.28
27870000	3.80
27880000	7.58
27890000	11.02
27900000	5.52
27910000	29.43
27920000	5.06
27930000	5.00
27940000	3.48
27950000	4.65
27960000	4.34
27970000	3.76
27980000	5.03
27990000	6.81
28000000	5.73
28010000	4.48
28020000	2.07
28030000	3.59
28040000	10.80
28050000	5.99
28060000	2.46
28070000	7.93
28080000	6.11
28090000	5.41
28100000	10.91
28110000	2.57
28120000	5.25
28130000	2.64
28140000	3.11
28150000	6.33
28160000	2.93
28170000	2.03
28180000	1.92
28190000	4.24
28200000	4.05
28210000	6.12
28220000	3.17
28230000	9.50
28240000	6.57
28250000	6.28
28260000	6.56
28270000	5.79
28280000	3.43
28290000	2.94
28300000	4.25
28310000	5.69
28320000	3.50
28330000	2.27
28340000	7.59
28350000	31.68
28360000	4.96
28370000	5.28
28380000	11.00
28390000	2.54
28400000	2.27
28410000	2.13
28420000	18.46
28430000	7.66
28440000	4.98
28450000	24.26
28460000	11.98
28470000	7.07
28480000	3.48
28490000	2.89
28500000	4.27
28510000	5.42
28520000	3.99
28530000	6.07
28540000	4.50
28550000	2.09
28560000	18.58
28570000	3.69
28580000	5.34
28590000	3.26
28600000	3.98
28610000	3.34
28620000	3.57
28630000	5.62
28640000	5.08
28650000	7.55
28660000	2.51
28670000	3.71
28680000	6.01
28690000	4.87
28700000	2.71
28710000	8.39
28720000	4.54
28730000	2.56
28740000	3.35
28750000	9.08
28760000	9.84
28770000	6.11
28780000	7.82
28790000	11.36
28800000	3.51
28810000	5.88
28820000	1.65
28830000	4.14
28840000	3.78
28850000	13.71
28860000	11.25
28870000	11.10
28880000	13.34
28890000	3.69
28900000	15.80
28910000	38.43
28920000	11.90
28930000	32.84
28940000	13.67
28950000	21.35
28960000	10.85
28970000	13.38
28980000	6.89
28990000	17.43
29000000	9.16
29010000	6.84
29020000	7.52
29030000	9.16
29040000	11.32
29050000	19.26
29060000	19.65
29070000	9.08
29080000	4.40
29090000	12.50
29100000	7.61
29110000	4.13
29120000	3.01
29130000	4.75
29140000	1.48
29150000	1.68
29160000	4.69
29170000	3.43
29180000	4.88
29190000	5.53
29200000	6.83
29210000	2.26
29220000	7.12
29230000	6.98
29240000	4.22
29250000	13.21
29260000	3.54
29270000	3.81
29280000	3.39
29290000	2.90
29300000	3.33
29310000	4.75
29320000	5.49
29330000	2.88
29340000	2.23
29350000	5.56
29360000	4.06
29370000	1.80
29380000	3.55
29390000	2.81
29400000	4.62
29410000	12.80
29420000	5.13
29430000	8.27
29440000	1.81
29450000	2.60
29460000	4.53
29470000	3.65
29480000	2.20
29490000	4.15
29500000	2.80
29510000	2.47
29520000	4.33
29530000	5.42
29540000	3.67
29550000	4.64
29560000	3.36
29570000	2.57
29580000	20.59
29590000	4.79
29600000	4.06
29610000	5.59
29620000	2.93
29630000	8.31
29640000	2.63
29650000	7.09
29660000	4.08
29670000	4.47
29680000	5.47
29690000	2.94
29700000	20.76
29710000	2.12
29720000	4.25
29730000	11.02
29740000	5.74
29750000	3.09
29760000	2.31
29770000	1.98
29780000	1.27
29790000	1.86
29800000	6.68
29810000	2.85
29820000	1.72
29830000	2.12
29840000	3.33
29850000	1.54
29860000	2.45
29870000	6.47
29880000	6.23
29890000	9.54
29900000	3.34
29910000	81.17
29920000	2.89
29930000	8.21
29940000	3.23
29950000	2.07
29960000	6.18
29970000	3.72
29980000	5.64
29990000	2.22
30000000	1.62
30010000	1.90
30020000	4.86
30030000	1.82
